InvoiceDate,NetFare
2018-11-19,40416.666666666664
2018-11-20,26975.647058823528
2018-11-21,21133.12
2018-11-22,21502.58823529412
2018-11-23,25526.636363636364
2018-11-24,30010.0
2018-11-25,14647.142857142857
2018-11-26,21461.333333333332
2018-11-27,28029.947368421053
2018-11-28,30097.733333333334
2018-11-29,12624.545454545454
2018-11-30,19236.5
2018-12-05,54060.0
2018-12-06,44709.5
2018-12-07,23231.333333333332
2018-12-08,20431.5
2018-12-09,22108.428571428572
2018-12-10,25766.846153846152
2018-12-11,34797.9
2018-12-12,28670.0
2018-12-13,21951.444444444445
2018-12-14,18760.083333333332
2018-12-15,22717.0
2018-12-16,14159.3
2018-12-17,28145.97142857143
2018-12-18,19656.764705882353
2018-12-19,24736.375
2018-12-20,29081.666666666668
2018-12-21,16781.2875
2018-12-22,17669.51724137931
2018-12-23,4589.444444444444
2018-12-24,27766.75
2018-12-25,20126.0
2018-12-26,12756.473684210527
2018-12-27,7436.875
2018-12-28,17316.225
2018-12-29,17875.347878787878
2018-12-30,14874.470588235294
2018-12-31,26942.61111111111
2019-01-01,12845.157894736842
2019-01-02,9249.576855
2019-01-03,20258.364754098362
2019-01-04,12051.932711111112
2019-01-05,11249.98988139535
2019-01-06,6443.11446585366
2019-01-13,14178.601999999997
2019-01-14,14195.720408163266
2019-01-15,15075.254901960785
2019-01-16,19548.86129032258
2019-01-17,15203.869166666667
2019-01-18,16356.182499999999
2019-01-19,14946.207317073171
2019-01-20,11571.357894736842
2019-01-21,12173.574468085106
2019-01-22,8195.025974025973
2019-01-23,14199.979591836734
2019-01-24,26712.399642857148
2019-01-25,15131.632352941177
2019-01-26,16745.2124
2019-01-27,8882.4
2019-01-28,13802.30875
2019-01-29,9130.386363636364
2019-01-30,12583.837209302326
2019-01-31,10527.02769230769
2019-02-01,12838.478260869566
2019-02-02,10810.472173913044
2019-02-03,11935.518271604938
2019-02-04,10556.24843870968
2019-02-05,14415.495148514849
2019-02-06,17075.8031
2019-02-13,11665.907414084508
2019-02-14,18083.58985074627
2019-02-15,11407.739285714288
2019-02-16,14893.443859649124
2019-02-17,16382.052686567165
2019-02-18,15925.972340425531
2019-02-19,15259.614594594594
